epoch 383  train_mse=637.86  val_mse=655.67
epoch 384  train_mse=630.83  val_mse=649.34
epoch 385  train_mse=625.26  val_mse=639.37
epoch 386  train_mse=616.38  val_mse=635.60
epoch 387  train_mse=614.16  val_mse=630.07
epoch 388  train_mse=608.56  val_mse=627.59
epoch 389  train_mse=605.51  val_mse=626.61
epoch 390  train_mse=605.52  val_mse=625.19
epoch 391  train_mse=616.31  val_mse=624.03
epoch 392  train_mse=613.06  val_mse=625.08
epoch 393  train_mse=609.75  val_mse=615.89
epoch 394  train_mse=600.43  val_mse=607.43
epoch 395  train_mse=587.02  val_mse=603.20
epoch 396  train_mse=585.12  val_mse=603.95
epoch 397  train_mse=579.12  val_mse=600.63
epoch 398  train_mse=571.55  val_mse=587.79
epoch 399  train_mse=566.52  val_mse=585.60
epoch 400  train_mse=561.18  val_mse=580.35
epoch 401  train_mse=554.31  val_mse=578.50
epoch 402  train_mse=553.14  val_mse=575.16
epoch 403  train_mse=551.78  val_mse=574.77
epoch 404  train_mse=552.70  val_mse=565.20
epoch 405  train_mse=542.17  val_mse=565.98
epoch 406  train_mse=538.68  val_mse=560.00
epoch 407  train_mse=530.88  val_mse=551.20
epoch 408  train_mse=529.22  val_mse=611.26
epoch 409  train_mse=643.21  val_mse=555.87
epoch 410  train_mse=590.28  val_mse=566.22
epoch 411  train_mse=578.34  val_mse=543.40
epoch 412  train_mse=564.47  val_mse=540.25
epoch 413  train_mse=548.12  val_mse=535.07
epoch 414  train_mse=541.51  val_mse=530.28
epoch 415  train_mse=530.71  val_mse=529.64
epoch 416  train_mse=525.77  val_mse=524.70
epoch 417  train_mse=515.62  val_mse=519.53
epoch 418  train_mse=509.93  val_mse=515.22
epoch 419  train_mse=504.63  val_mse=510.68
epoch 420  train_mse=499.91  val_mse=514.83
epoch 421  train_mse=523.02  val_mse=516.42
epoch 422  train_mse=513.20  val_mse=512.66
epoch 423  train_mse=501.10  val_mse=509.98
epoch 424  train_mse=488.48  val_mse=507.65
epoch 425  train_mse=483.41  val_mse=496.64
epoch 426  train_mse=481.68  val_mse=488.98
epoch 427  train_mse=474.75  val_mse=485.16
epoch 428  train_mse=469.92  val_mse=480.76
epoch 429  train_mse=465.55  val_mse=475.80
epoch 430  train_mse=461.13  val_mse=473.29
epoch 431  train_mse=457.60  val_mse=470.22
epoch 432  train_mse=451.87  val_mse=466.62
epoch 433  train_mse=449.48  val_mse=467.19
epoch 434  train_mse=452.38  val_mse=459.72
epoch 435  train_mse=446.59  val_mse=463.71
epoch 436  train_mse=443.10  val_mse=452.01
epoch 437  train_mse=441.61  val_mse=448.48
epoch 438  train_mse=435.79  val_mse=448.76
epoch 439  train_mse=432.02  val_mse=450.22
epoch 440  train_mse=430.20  val_mse=443.24
epoch 441  train_mse=428.41  val_mse=436.29
epoch 442  train_mse=425.83  val_mse=431.79
epoch 443  train_mse=422.22  val_mse=431.82
epoch 444  train_mse=421.77  val_mse=431.12
epoch 445  train_mse=415.67  val_mse=423.13
epoch 446  train_mse=412.85  val_mse=422.84
epoch 447  train_mse=408.23  val_mse=418.65
epoch 448  train_mse=404.59  val_mse=417.20
epoch 449  train_mse=401.00  val_mse=420.76
epoch 450  train_mse=400.67  val_mse=415.64
epoch 451  train_mse=403.68  val_mse=411.53
epoch 452  train_mse=400.05  val_mse=406.52
epoch 453  train_mse=393.40  val_mse=403.51
epoch 454  train_mse=388.65  val_mse=399.70
epoch 455  train_mse=388.07  val_mse=396.58
epoch 456  train_mse=382.64  val_mse=397.56
epoch 457  train_mse=379.33  val_mse=398.77
epoch 458  train_mse=376.37  val_mse=391.69
epoch 459  train_mse=378.00  val_mse=396.06
epoch 460  train_mse=374.18  val_mse=390.70
epoch 461  train_mse=374.76  val_mse=383.65
epoch 462  train_mse=374.48  val_mse=378.84
epoch 463  train_mse=379.52  val_mse=377.89
epoch 464  train_mse=373.63  val_mse=388.37
epoch 465  train_mse=382.22  val_mse=371.78
epoch 466  train_mse=368.94  val_mse=368.50
epoch 467  train_mse=373.39  val_mse=371.55
epoch 468  train_mse=359.47  val_mse=368.55
epoch 469  train_mse=358.96  val_mse=372.83
epoch 470  train_mse=356.40  val_mse=368.13
epoch 471  train_mse=348.84  val_mse=366.78
epoch 472  train_mse=346.54  val_mse=364.12
epoch 473  train_mse=343.15  val_mse=352.09
epoch 474  train_mse=340.23  val_mse=355.53
epoch 475  train_mse=337.62  val_mse=353.76
epoch 476  train_mse=337.45  val_mse=354.06
epoch 477  train_mse=337.65  val_mse=347.10
epoch 478  train_mse=339.65  val_mse=339.53
epoch 479  train_mse=332.78  val_mse=346.76
epoch 480  train_mse=333.15  val_mse=335.26
epoch 481  train_mse=336.23  val_mse=375.91
epoch 482  train_mse=339.24  val_mse=336.49
epoch 483  train_mse=336.53  val_mse=327.94
epoch 484  train_mse=330.63  val_mse=332.00
epoch 485  train_mse=325.79  val_mse=327.49
epoch 486  train_mse=321.41  val_mse=335.14
epoch 487  train_mse=320.13  val_mse=323.33
epoch 488  train_mse=315.77  val_mse=321.83
epoch 489  train_mse=314.06  val_mse=317.45
epoch 490  train_mse=312.48  val_mse=318.03
epoch 491  train_mse=311.21  val_mse=312.66
epoch 492  train_mse=309.52  val_mse=320.98
epoch 493  train_mse=305.98  val_mse=316.64
epoch 494  train_mse=302.46  val_mse=325.14
epoch 495  train_mse=302.06  val_mse=304.15
epoch 496  train_mse=301.99  val_mse=301.94
epoch 497  train_mse=299.86  val_mse=306.16
epoch 498  train_mse=295.59  val_mse=298.69
epoch 499  train_mse=299.80  val_mse=293.40
epoch 500  train_mse=288.10  val_mse=308.40
epoch 501  train_mse=316.00  val_mse=336.93
epoch 502  train_mse=405.84  val_mse=348.01
epoch 503  train_mse=389.65  val_mse=349.15
epoch 504  train_mse=385.41  val_mse=362.09
epoch 505  train_mse=351.80  val_mse=357.48
epoch 506  train_mse=360.68  val_mse=427.98
epoch 507  train_mse=381.48  val_mse=401.24
epoch 508  train_mse=350.25  val_mse=327.69
epoch 509  train_mse=331.40  val_mse=313.25
epoch 510  train_mse=316.29  val_mse=295.13
epoch 511  train_mse=304.52  val_mse=282.62
epoch 512  train_mse=297.37  val_mse=274.62
epoch 513  train_mse=288.75  val_mse=270.91
epoch 514  train_mse=282.58  val_mse=268.47
epoch 515  train_mse=277.71  val_mse=264.98
epoch 516  train_mse=275.40  val_mse=267.17
epoch 517  train_mse=271.66  val_mse=270.51
epoch 518  train_mse=266.84  val_mse=269.84
epoch 519  train_mse=265.30  val_mse=264.87
epoch 520  train_mse=281.11  val_mse=271.39
epoch 521  train_mse=270.85  val_mse=273.63
epoch 522  train_mse=266.54  val_mse=270.66
epoch 523  train_mse=263.30  val_mse=260.00
epoch 524  train_mse=261.29  val_mse=269.85
epoch 525  train_mse=257.35  val_mse=255.93
epoch 526  train_mse=257.30  val_mse=257.14
epoch 527  train_mse=252.97  val_mse=251.71
epoch 528  train_mse=250.72  val_mse=250.47
epoch 529  train_mse=245.83  val_mse=253.95
epoch 530  train_mse=246.04  val_mse=250.25
epoch 531  train_mse=242.60  val_mse=251.65
epoch 532  train_mse=241.05  val_mse=246.67
epoch 533  train_mse=242.97  val_mse=251.06
epoch 534  train_mse=238.12  val_mse=245.74
epoch 535  train_mse=238.00  val_mse=249.94
epoch 536  train_mse=238.40  val_mse=242.69
epoch 537  train_mse=233.78  val_mse=241.08
epoch 538  train_mse=231.38  val_mse=238.62
epoch 539  train_mse=227.84  val_mse=241.42
epoch 540  train_mse=228.89  val_mse=242.54
epoch 541  train_mse=232.86  val_mse=236.12
epoch 542  train_mse=229.44  val_mse=231.60
epoch 543  train_mse=233.28  val_mse=233.32
epoch 544  train_mse=231.56  val_mse=233.66
epoch 545  train_mse=236.16  val_mse=234.02
epoch 546  train_mse=237.88  val_mse=235.99
epoch 547  train_mse=233.88  val_mse=227.03
epoch 548  train_mse=229.78  val_mse=230.72
epoch 549  train_mse=224.35  val_mse=238.15
epoch 550  train_mse=228.01  val_mse=243.09
epoch 551  train_mse=220.92  val_mse=221.90
epoch 552  train_mse=218.90  val_mse=221.24
epoch 553  train_mse=219.54  val_mse=240.83
epoch 554  train_mse=226.88  val_mse=224.99
epoch 555  train_mse=228.04  val_mse=216.95
epoch 556  train_mse=222.87  val_mse=237.83
